0.25,0.268,0.198,0.303,0.24
0.61,0.354,0.321,0.755,0.544
0.811,0.35,0.389,0.621,0.646
0.507,0.418,0.361,0.674,0.502
0.267,0.27,0.279,0.276,0.261
0.158,0.143,0.144,0.139,0.144
0.393,0.423,0.355,0.508,0.393
0.425,0.501,0.519,0.526,0.445
0.541,0.461,0.492,0.482,0.507
0.305,0.21,0.183,0.324,0.281
0.465,0.372,0.377,0.418,0.392
0.499,0.471,0.425,0.534,0.505
0.628,0.442,0.397,0.69,0.559
0.443,0.37,0.299,0.511,0.399
0.373,0.296,0.254,0.454,0.353
0.3603,0.282,0.287,0.261,0.322
0.563,0.492,0.406,0.677,0.549
0.461,0.5,0.358,0.597,0.48
0.339,0.31,0.333,0.367,0.318
0.569,0.437,0.495,0.59,0.525
